stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
M7-L2_C1_5_L1_4-int-dur,4.57119636806507,5.247496088140544,2.0812191053233042,1.4812420047372334,1.0017603829305557,1.3128038369078145
M7-L2_C1_5_L1_4-int-rate,5.812371878514271,5.462909021615643,1.8872984157341932,1.387276581334545,1.0304764218252533,1.184367918446636
M7-L2_C1_5_L1_4-int-dur-rate,5.812371878514271,5.469999341340441,1.886627026603877,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_C1_5_L1_4-dur,4.57119636806507,5.179997649564373,1.167503991903316,1.4812420047372334,1.0017603829305557,1.3128038369078145
M7-L2_C1_5_L1_4-dur-rate,5.812371878514271,5.39571585328485,1.0116689780157198,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_C1_5_L1_4-rate,5.812371878514271,5.39571585328485,1.0116689780157198,1.387276581334545,1.0304764218252533,1.184367918446636
M7-L1_4,5.812371878514271,5.604521452794108,2.168293569962284,1.4812420047372339,1.001760382930556,1.312803836907815
M8-L2_B1_4_B1_5-int-dur-rate,3.41128328852826,6.047300062135494,1.1417733972318347,1.8349911340932283,2.0781401912697235,1.9785702196513029
M8-L2_B1_4_L1_4-int,4.01816764518652,6.53464351031235,1.6405375950947783,1.6331720895485815,1.448253931747938,1.6855751627610385
M8-L2_B1_4_L1_4-int-dur,4.01816764518652,6.55047224835271,1.6236515870681087,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_B1_4_L1_4-int-rate,4.873286542699345,6.677696392747457,1.5361679602507523,1.6331720895485813,1.4482539317479384,1.685575162761039
M8-L2_B1_4_L1_4-int-dur-rate,4.873286542699345,6.727437709440073,1.504923084774523,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_B1_4_L1_4-dur,4.01816764518652,6.236956320262635,1.2108764284582065,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_B1_4_L1_4-dur-rate,4.873286542699345,6.332262494590907,1.2324229020042394,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_B1_4_L1_4-rate,4.873286542699345,6.314964658395123,1.2259869266349275,1.6331720895485813,1.4482539317479384,1.685575162761039
M8-L2_C1_4_C1_5-int-dur-rate,3.8450437892110894,5.643005330616428,1.7886909967746352,1.8744138859189334,1.129170432886866,2.0373619714166806
